iter	RMSE
295	1038.799205
296	1038.749723
297	1038.730939
298	1038.72115
299	1038.661948
300	1038.657644
301	1038.428242
302	1038.419349
303	1038.414669
304	1038.357625
305	1038.335042
306	1038.263544
307	1037.988788
308	1037.802687
309	1037.799633
310	1037.767551
311	1037.748986
312	1037.689389
313	1037.523103
314	1037.35511
315	1037.319249
316	1037.316362
317	1037.170442
318	1037.093156
319	1037.032801
320	1037.000042
321	1036.998277
322	1036.771589
323	1036.745748
324	1036.738779
325	1036.713012
326	1036.633765
327	1036.535825
328	1036.356144
329	1036.336329
330	1036.251596
331	1036.218583
332	1036.011461
333	1035.860499
334	1035.720741
335	1035.504007
336	1035.501301
337	1035.460117
338	1035.331211
339	1035.122315
340	1035.081765
341	1035.05164
342	1034.888214
343	1034.884485
344	1034.867617
345	1034.854685
346	1034.823342
347	1034.774533
348	1034.75279
349	1034.716311
350	1034.318634
351	1034.277705
352	1034.007269
353	1034.00678
354	1033.795334
355	1033.759924
356	1033.575746
357	1033.505072
358	1033.490791
359	1033.450333
360	1033.241094
361	1033.179005
362	1033.152716
363	1033.139325
364	1033.12259
365	1033.057575
366	1033.033802
367	1033.029854
368	1032.962677
369	1032.956146
370	1032.937244
371	1032.934361
372	1032.87997
373	1032.875218
374	1032.812993
375	1032.727543
376	1032.725689
377	1032.706941
378	1032.705224
379	1032.467553
380	1032.392854
381	1032.380639
382	1032.359286
383	1032.310651
384	1032.253521
385	1032.233315
386	1032.207508
387	1032.129248
388	1032.097591
389	1032.056988
390	1031.901075
391	1031.901075
392	1031.89457
393	1031.888677
394	1031.526987
395	1031.511622
396	1031.478737
397	1031.379848
398	1031.300224
399	1031.289955
400	1031.189396
401	1031.185363
402	1031.040962
403	1030.936996
404	1030.893413
405	1030.827136
406	1030.817806
407	1030.693669
408	1030.628207
409	1030.559932
410	1030.456727
411	1030.438987
412	1030.287154
413	1030.254086
414	1030.224971
415	1030.053733
416	1029.819643
417	1029.707467
418	1029.599707
419	1029.513996
420	1029.396075
421	1029.284488
422	1029.275117
423	1029.103006
424	1029.037869
425	1028.886774
426	1028.853085
427	1028.725576
428	1028.587879
429	1028.341182
430	1028.296264
431	1028.124101
432	1028.079363
433	1027.995001
434	1027.977635
435	1027.892722
436	1027.814642
437	1027.632634
438	1027.603505
439	1027.344827
440	1027.218512
441	1027.155658
442	1027.074368
443	1027.048255
444	1027.000472
445	1026.970569
446	1026.699501
447	1026.699474
448	1026.53031
449	1026.468239
450	1026.343268
451	1026.214078
452	1026.114031
453	1025.871871
454	1025.536341
455	1025.441431
